Sequence,time,Left Wheel Reading,Right Wheel Reading
18014,0.0,0,0
18015,0.0,0,0
18016,0.0,0,0
18017,0.1,1,0
18018,0.2,6,0
18019,0.30000000000000004,15,0
18020,0.4,25,0
18021,0.5,34,0
18022,0.6000000000000001,43,0
18023,0.7000000000000001,52,0
18024,0.8,54,0
18025,0.9,53,0
18026,1.0,54,0
18027,1.1,53,0
18028,1.2000000000000002,53,0
18029,1.3,53,0
18030,1.4000000000000001,53,0
18031,1.5,54,0
18032,1.6,54,0
18033,1.7000000000000002,54,0
18034,1.8,55,0
18035,1.9000000000000001,54,0
18036,2.0,55,0
18037,2.1,56,0
18038,2.2,56,0
18039,2.3000000000000003,55,0
18040,2.4000000000000004,56,0
18041,2.5,55,0
18042,2.6,57,0
18043,2.7,56,0
18044,2.8000000000000003,55,0
18045,2.9000000000000004,55,0
18046,3.0,55,0
18047,3.1,54,0
18048,3.2,55,0
18049,3.3000000000000003,53,0
18050,3.4000000000000004,54,0
18051,3.5,53,0
18052,3.6,54,0
18053,3.7,54,0
18054,3.8000000000000003,55,0
18055,3.9000000000000004,54,0
18056,4.0,55,0
18057,4.1000000000000005,54,0
18058,4.2,56,0
18059,4.3,55,0
18060,4.4,56,0
18061,4.5,56,0
18062,4.6000000000000005,55,0
18063,4.7,58,0
18064,4.800000000000001,55,0
18065,4.9,54,0
18066,5.0,54,1
18067,5.1000000000000005,53,0
18068,5.2,53,0
18069,5.300000000000001,53,0
18070,5.4,54,0
18071,5.5,54,0
18072,5.6000000000000005,54,0
18073,5.7,54,0
18074,5.800000000000001,54,0
18075,5.9,55,0
18076,6.0,55,0
18077,6.1000000000000005,54,0
18078,6.2,55,0
18079,6.300000000000001,56,0
18080,6.4,55,0
18081,6.5,56,0
18082,6.6000000000000005,56,0
18083,6.7,55,0
18084,6.800000000000001,56,0
18085,6.9,55,0
18086,7.0,55,0
18087,7.1000000000000005,53,0
18088,7.2,54,0
18089,7.300000000000001,53,0
18090,7.4,53,0
18091,7.5,53,0
18092,7.6000000000000005,54,0
18093,7.7,54,0
18094,7.800000000000001,55,0
18095,7.9,54,0
18096,8.0,55,0
18097,8.1,54,0
18098,8.200000000000001,56,0
18099,8.3,55,0
18100,8.4,56,0
18101,8.5,55,0
18102,8.6,56,0
18103,8.700000000000001,56,0
18104,8.8,56,0
18105,8.9,56,0
18106,9.0,54,0
18107,9.1,54,0
18108,9.200000000000001,53,0
18109,9.3,52,0
18110,9.4,54,0
18111,9.5,53,0
18112,9.600000000000001,53,0
18113,9.700000000000001,55,0
18114,9.8,54,0
18115,9.9,54,0
18116,10.0,54,0
18117,10.100000000000001,54,0
18118,10.200000000000001,55,0
18119,10.3,55,0
18120,10.4,56,0
18121,10.5,55,0
18122,10.600000000000001,56,0
18123,10.700000000000001,56,0
18124,10.8,56,0
18125,10.9,56,0
18126,11.0,55,0
18127,11.100000000000001,54,0
18128,11.200000000000001,54,0
18129,11.3,53,0
18130,11.4,52,0
18131,11.5,53,0
18132,11.600000000000001,54,0
18133,11.700000000000001,53,0
18134,11.8,54,0
18135,11.9,55,0
18136,12.0,55,0
18137,12.100000000000001,54,0
18138,12.200000000000001,55,0
18139,12.3,54,0
18140,12.4,56,0
18141,12.5,56,0
18142,12.600000000000001,55,0
18143,12.700000000000001,55,0
18144,12.8,56,0
18145,12.9,56,0
18146,13.0,55,0
18147,13.100000000000001,54,0
18148,13.200000000000001,54,0
18149,13.3,53,0
18150,13.4,52,0
18151,13.5,53,0
18152,13.600000000000001,54,0
18153,13.700000000000001,54,0
18154,13.8,54,0
18155,13.9,55,0
18156,14.0,54,0
18157,14.100000000000001,54,0
18158,14.200000000000001,54,0
18159,14.3,54,0
18160,14.4,54,0
18161,14.5,55,0
18162,14.600000000000001,56,0
18163,14.700000000000001,55,0
18164,14.8,55,0
18165,14.9,56,0
18166,15.0,55,0
