Sequence,time,Left Wheel Reading,Right Wheel Reading
15667,0.0,0,0
15668,0.0,0,0
15669,0.0,0,0
15670,0.1,1,0
15671,0.2,10,0
15672,0.30000000000000004,21,0
15673,0.4,30,0
15674,0.5,41,0
15675,0.6000000000000001,49,0
15676,0.7000000000000001,53,0
15677,0.8,53,0
15678,0.9,54,0
15679,1.0,54,0
15680,1.1,54,0
15681,1.2000000000000002,54,0
15682,1.3,54,0
15683,1.4000000000000001,55,0
15684,1.5,56,0
15685,1.6,55,0
15686,1.7000000000000002,55,0
15687,1.8,55,0
15688,1.9000000000000001,56,0
15689,2.0,55,0
15690,2.1,55,0
15691,2.2,54,0
15692,2.3000000000000003,53,0
15693,2.4000000000000004,53,0
15694,2.5,53,0
15695,2.6,53,0
15696,2.7,54,0
15697,2.8000000000000003,53,0
15698,2.9000000000000004,54,0
15699,3.0,54,0
15700,3.1,54,0
15701,3.2,54,0
15702,3.3000000000000003,54,0
15703,3.4000000000000004,55,0
15704,3.5,55,0
15705,3.6,55,0
15706,3.7,55,0
15707,3.8000000000000003,55,0
15708,3.9000000000000004,55,0
15709,4.0,55,0
15710,4.1000000000000005,56,0
15711,4.2,54,0
15712,4.3,54,0
15713,4.4,53,0
15714,4.5,53,0
15715,4.6000000000000005,53,0
15716,4.7,53,0
15717,4.800000000000001,53,0
15718,4.9,54,0
15719,5.0,54,0
15720,5.1000000000000005,54,0
15721,5.2,54,0
15722,5.300000000000001,54,0
15723,5.4,54,0
15724,5.5,55,0
15725,5.6000000000000005,55,0
15726,5.7,54,0
15727,5.800000000000001,55,0
15728,5.9,56,0
15729,6.0,55,0
15730,6.1000000000000005,55,0
15731,6.2,55,0
15732,6.300000000000001,54,0
15733,6.4,53,0
15734,6.5,54,0
15735,6.6000000000000005,52,0
15736,6.7,54,0
15737,6.800000000000001,53,0
15738,6.9,53,0
15739,7.0,54,0
15740,7.1000000000000005,55,0
15741,7.2,54,0
15742,7.300000000000001,55,0
15743,7.4,54,0
15744,7.5,56,0
15745,7.6000000000000005,54,0
15746,7.7,56,0
15747,7.800000000000001,55,0
15748,7.9,56,0
15749,8.0,55,0
15750,8.1,57,0
15751,8.200000000000001,55,0
15752,8.3,55,0
15753,8.4,53,0
15754,8.5,54,0
15755,8.6,53,0
15756,8.700000000000001,53,0
15757,8.8,53,0
15758,8.9,54,0
15759,9.0,53,0
15760,9.1,54,0
15761,9.200000000000001,54,0
15762,9.3,55,0
15763,9.4,55,0
15764,9.5,54,0
15765,9.600000000000001,55,0
15766,9.700000000000001,56,0
15767,9.8,56,0
15768,9.9,55,0
15769,10.0,56,0
15770,10.100000000000001,56,0
15771,10.200000000000001,55,0
15772,10.3,56,0
15773,10.4,54,0
15774,10.5,54,0
15775,10.600000000000001,54,0
15776,10.700000000000001,53,0
15777,10.8,53,0
15778,10.9,54,0
15779,11.0,53,0
15780,11.100000000000001,55,0
15781,11.200000000000001,54,0
15782,11.3,54,0
15783,11.4,55,0
15784,11.5,55,0
15785,11.600000000000001,54,0
15786,11.700000000000001,56,0
15787,11.8,56,0
15788,11.9,55,0
15789,12.0,56,0
15790,12.100000000000001,56,0
15791,12.200000000000001,55,0
15792,12.3,56,0
15793,12.4,55,0
15794,12.5,54,0
15795,12.600000000000001,54,0
15796,12.700000000000001,53,0
15797,12.8,52,0
15798,12.9,54,0
15799,13.0,53,0
15800,13.100000000000001,54,0
15801,13.200000000000001,54,0
15802,13.3,54,0
15803,13.4,54,0
15804,13.5,55,0
15805,13.600000000000001,54,0
15806,13.700000000000001,56,0
15807,13.8,55,0
15808,13.9,55,0
15809,14.0,55,0
15810,14.100000000000001,56,0
15811,14.200000000000001,56,0
15812,14.3,56,0
15813,14.4,55,0
15814,14.5,55,0
15815,14.600000000000001,54,0
15816,14.700000000000001,53,0
15817,14.8,53,0
15818,14.9,54,0
15819,15.0,53,0
