Sequence,time,Left Wheel Reading,Right Wheel Reading
18785,0.0,0,0
18786,0.0,0,0
18787,0.0,0,0
18788,0.1,0,3
18789,0.2,0,15
18790,0.30000000000000004,0,25
18791,0.4,0,34
18792,0.5,0,44
18793,0.6000000000000001,2,53
18794,0.7000000000000001,1,57
18795,0.8,1,56
18796,0.9,0,56
18797,1.0,0,57
18798,1.1,0,56
18799,1.2000000000000002,0,56
18800,1.3,0,57
18801,1.4000000000000001,0,56
18802,1.5,0,56
18803,1.6,0,57
18804,1.7000000000000002,0,56
18805,1.8,0,57
18806,1.9000000000000001,0,57
18807,2.0,0,56
18808,2.1,0,56
18809,2.2,0,57
18810,2.3000000000000003,0,57
18811,2.4000000000000004,0,57
18812,2.5,0,56
18813,2.6,0,57
18814,2.7,0,57
18815,2.8000000000000003,0,57
18816,2.9000000000000004,0,57
18817,3.0,0,56
18818,3.1,0,56
18819,3.2,1,57
18820,3.3000000000000003,0,57
18821,3.4000000000000004,0,55
18822,3.5,0,58
18823,3.6,0,57
18824,3.7,1,56
18825,3.8000000000000003,0,57
18826,3.9000000000000004,0,57
18827,4.0,0,56
18828,4.1000000000000005,0,57
18829,4.2,0,56
18830,4.3,0,57
18831,4.4,0,56
18832,4.5,0,57
18833,4.6000000000000005,0,57
18834,4.7,0,56
18835,4.800000000000001,0,56
18836,4.9,0,57
18837,5.0,0,56
18838,5.1000000000000005,1,57
18839,5.2,0,56
18840,5.300000000000001,0,57
18841,5.4,0,56
18842,5.5,0,57
18843,5.6000000000000005,0,56
18844,5.7,0,57
18845,5.800000000000001,0,56
18846,5.9,0,57
18847,6.0,0,57
18848,6.1000000000000005,0,56
18849,6.2,0,57
18850,6.300000000000001,1,56
18851,6.4,0,57
18852,6.5,0,57
18853,6.6000000000000005,1,56
18854,6.7,0,57
18855,6.800000000000001,0,56
18856,6.9,0,57
18857,7.0,0,56
18858,7.1000000000000005,0,57
18859,7.2,0,56
18860,7.300000000000001,0,57
18861,7.4,0,56
18862,7.5,0,57
18863,7.6000000000000005,0,56
18864,7.7,0,57
18865,7.800000000000001,0,56
18866,7.9,0,57
18867,8.0,0,56
18868,8.1,0,57
18869,8.200000000000001,0,55
18870,8.3,0,58
18871,8.4,0,56
18872,8.5,0,56
18873,8.6,1,57
18874,8.700000000000001,0,56
18875,8.8,0,57
18876,8.9,0,56
18877,9.0,0,57
18878,9.1,0,56
18879,9.200000000000001,0,57
18880,9.3,0,56
18881,9.4,0,57
18882,9.5,0,56
18883,9.600000000000001,0,57
18884,9.700000000000001,0,56
18885,9.8,0,57
18886,9.9,0,56
18887,10.0,0,57
18888,10.100000000000001,0,57
18889,10.200000000000001,0,56
18890,10.3,0,57
18891,10.4,0,56
18892,10.5,0,57
18893,10.600000000000001,0,56
18894,10.700000000000001,0,57
18895,10.8,0,57
18896,10.9,0,56
18897,11.0,0,56
18898,11.100000000000001,0,57
18899,11.200000000000001,0,56
18900,11.3,0,57
18901,11.4,1,56
18902,11.5,0,57
18903,11.600000000000001,0,56
18904,11.700000000000001,0,57
18905,11.8,0,56
18906,11.9,0,57
18907,12.0,0,56
18908,12.100000000000001,0,57
18909,12.200000000000001,0,56
18910,12.3,0,57
18911,12.4,0,56
18912,12.5,0,57
18913,12.600000000000001,0,56
18914,12.700000000000001,0,56
18915,12.8,0,56
18916,12.9,1,56
18917,13.0,0,56
18918,13.100000000000001,0,57
18919,13.200000000000001,0,55
18920,13.3,0,57
18921,13.4,0,56
18922,13.5,0,57
18923,13.600000000000001,0,56
18924,13.700000000000001,0,57
18925,13.8,0,56
18926,13.9,1,57
18927,14.0,0,56
18928,14.100000000000001,0,57
18929,14.200000000000001,0,56
18930,14.3,0,56
18931,14.4,0,57
18932,14.5,0,57
18933,14.600000000000001,0,57
18934,14.700000000000001,0,57
18935,14.8,0,56
18936,14.9,0,56
18937,15.0,0,57
