Sequence,time,Left Wheel Reading,Right Wheel Reading
19643,0.0,0,0
19644,0.0,0,0
19645,0.0,0,0
19646,0.0,0,0
19647,0.0,0,0
19648,0.1,0,7
19649,0.2,0,15
19650,0.30000000000000004,0,25
19651,0.4,0,35
19652,0.5,1,43
19653,0.6000000000000001,2,52
19654,0.7000000000000001,0,56
19655,0.8,1,56
19656,0.9,0,57
19657,1.0,0,56
19658,1.1,0,56
19659,1.2000000000000002,0,57
19660,1.3,0,56
19661,1.4000000000000001,0,56
19662,1.5,0,56
19663,1.6,0,56
19664,1.7000000000000002,0,56
19665,1.8,0,55
19666,1.9000000000000001,0,57
19667,2.0,1,55
19668,2.1,0,57
19669,2.2,0,55
19670,2.3000000000000003,0,56
19671,2.4000000000000004,0,56
19672,2.5,1,56
19673,2.6,0,56
19674,2.7,0,56
19675,2.8000000000000003,0,56
19676,2.9000000000000004,0,56
19677,3.0,1,56
19678,3.1,0,56
19679,3.2,0,56
19680,3.3000000000000003,0,56
19681,3.4000000000000004,0,56
19682,3.5,1,56
19683,3.6,1,56
19684,3.7,0,56
19685,3.8000000000000003,0,56
19686,3.9000000000000004,1,56
19687,4.0,0,56
19688,4.1000000000000005,0,56
19689,4.2,0,56
19690,4.3,0,57
19691,4.4,0,56
19692,4.5,0,56
19693,4.6000000000000005,2,56
19694,4.7,0,56
19695,4.800000000000001,0,56
19696,4.9,0,56
19697,5.0,0,56
19698,5.1000000000000005,0,56
19699,5.2,1,56
19700,5.300000000000001,0,56
19701,5.4,0,56
19702,5.5,0,56
19703,5.6000000000000005,0,56
19704,5.7,1,56
19705,5.800000000000001,0,56
19706,5.9,0,56
19707,6.0,0,55
19708,6.1000000000000005,0,56
19709,6.2,0,56
19710,6.300000000000001,0,56
19711,6.4,0,56
19712,6.5,0,56
19713,6.6000000000000005,0,56
19714,6.7,0,56
19715,6.800000000000001,0,56
19716,6.9,1,58
19717,7.0,0,56
19718,7.1000000000000005,0,55
19719,7.2,0,56
19720,7.300000000000001,0,56
19721,7.4,0,56
19722,7.5,0,56
19723,7.6000000000000005,0,56
19724,7.7,0,56
19725,7.800000000000001,0,56
19726,7.9,0,56
19727,8.0,0,56
19728,8.1,0,56
19729,8.200000000000001,0,56
19730,8.3,0,56
19731,8.4,0,56
19732,8.5,1,56
19733,8.6,0,56
19734,8.700000000000001,0,56
19735,8.8,0,56
19736,8.9,0,56
19737,9.0,0,56
19738,9.1,0,56
19739,9.200000000000001,0,56
19740,9.3,0,56
19741,9.4,0,56
19742,9.5,0,56
19743,9.600000000000001,0,56
19744,9.700000000000001,0,57
19745,9.8,0,55
19746,9.9,0,57
19747,10.0,0,56
19748,10.100000000000001,0,56
19749,10.200000000000001,1,55
19750,10.3,0,56
19751,10.4,0,56
19752,10.5,0,56
19753,10.600000000000001,0,56
19754,10.700000000000001,0,56
19755,10.8,0,56
19756,10.9,0,56
19757,11.0,0,56
19758,11.100000000000001,0,55
19759,11.200000000000001,0,56
19760,11.3,0,56
19761,11.4,0,56
19762,11.5,0,56
19763,11.600000000000001,1,56
19764,11.700000000000001,0,56
19765,11.8,0,56
19766,11.9,1,56
19767,12.0,0,56
19768,12.100000000000001,0,56
19769,12.200000000000001,0,56
19770,12.3,0,56
19771,12.4,0,56
19772,12.5,0,56
19773,12.600000000000001,0,56
19774,12.700000000000001,0,56
19775,12.8,0,56
19776,12.9,1,57
19777,13.0,0,56
19778,13.100000000000001,0,56
19779,13.200000000000001,0,55
19780,13.3,0,57
19781,13.4,0,55
19782,13.5,0,57
19783,13.600000000000001,0,55
19784,13.700000000000001,0,57
19785,13.8,0,56
19786,13.9,0,56
19787,14.0,0,56
19788,14.100000000000001,0,56
19789,14.200000000000001,0,56
19790,14.3,0,56
19791,14.4,0,56
19792,14.5,0,56
19793,14.600000000000001,0,57
19794,14.700000000000001,0,56
19795,14.8,0,56
19796,14.9,0,56
19797,15.0,0,56
