Sequence,time,Left Wheel Reading,Right Wheel Reading
17526,0.0,0,0
17527,0.0,0,0
17528,0.0,0,0
17529,0.1,1,0
17530,0.2,15,0
17531,0.30000000000000004,24,0
17532,0.4,34,0
17533,0.5,43,0
17534,0.6000000000000001,52,0
17535,0.7000000000000001,55,0
17536,0.8,56,0
17537,0.9,55,0
17538,1.0,56,0
17539,1.1,54,0
17540,1.2000000000000002,53,0
17541,1.3,53,0
17542,1.4000000000000001,53,0
17543,1.5,53,0
17544,1.6,53,0
17545,1.7000000000000002,53,0
17546,1.8,54,0
17547,1.9000000000000001,54,0
17548,2.0,54,0
17549,2.1,55,0
17550,2.2,55,0
17551,2.3000000000000003,54,0
17552,2.4000000000000004,56,0
17553,2.5,55,0
17554,2.6,56,0
17555,2.7,55,0
17556,2.8000000000000003,56,0
17557,2.9000000000000004,56,0
17558,3.0,56,0
17559,3.1,55,0
17560,3.2,54,0
17561,3.3000000000000003,53,0
17562,3.4000000000000004,54,0
17563,3.5,53,0
17564,3.6,53,0
17565,3.7,53,0
17566,3.8000000000000003,54,0
17567,3.9000000000000004,53,0
17568,4.0,54,0
17569,4.1000000000000005,54,0
17570,4.2,55,0
17571,4.3,54,0
17572,4.4,55,0
17573,4.5,55,0
17574,4.6000000000000005,56,0
17575,4.7,54,0
17576,4.800000000000001,56,0
17577,4.9,55,0
17578,5.0,56,0
17579,5.1000000000000005,56,0
17580,5.2,54,0
17581,5.300000000000001,54,0
17582,5.4,53,0
17583,5.5,53,0
17584,5.6000000000000005,53,0
17585,5.7,52,0
17586,5.800000000000001,54,0
17587,5.9,54,0
17588,6.0,54,0
17589,6.1000000000000005,54,0
17590,6.2,54,0
17591,6.300000000000001,55,0
17592,6.4,54,0
17593,6.5,56,0
17594,6.6000000000000005,55,0
17595,6.7,56,0
17596,6.800000000000001,55,0
17597,6.9,56,0
17598,7.0,56,0
17599,7.1000000000000005,56,0
17600,7.2,56,0
17601,7.300000000000001,54,0
17602,7.4,54,0
17603,7.5,53,0
17604,7.6000000000000005,53,0
17605,7.7,53,0
17606,7.800000000000001,54,0
17607,7.9,53,0
17608,8.0,54,0
17609,8.1,54,0
17610,8.200000000000001,55,0
17611,8.3,54,0
17612,8.4,55,0
17613,8.5,54,0
17614,8.6,56,0
17615,8.700000000000001,56,0
17616,8.8,55,0
17617,8.9,56,0
17618,9.0,56,0
17619,9.1,56,0
17620,9.200000000000001,55,0
17621,9.3,55,0
17622,9.4,54,0
17623,9.5,53,0
17624,9.600000000000001,53,0
17625,9.700000000000001,53,0
17626,9.8,53,0
17627,9.9,53,0
17628,10.0,54,0
17629,10.100000000000001,54,0
17630,10.200000000000001,54,0
17631,10.3,55,0
17632,10.4,54,0
17633,10.5,54,0
17634,10.600000000000001,56,0
17635,10.700000000000001,55,0
17636,10.8,56,0
17637,10.9,55,0
17638,11.0,56,0
17639,11.100000000000001,56,0
17640,11.200000000000001,56,0
17641,11.3,55,0
17642,11.4,55,0
17643,11.5,53,0
17644,11.600000000000001,53,0
17645,11.700000000000001,53,0
17646,11.8,53,0
17647,11.9,53,0
17648,12.0,54,0
17649,12.100000000000001,53,0
17650,12.200000000000001,54,0
17651,12.3,54,0
17652,12.4,55,0
17653,12.5,54,0
17654,12.600000000000001,55,0
17655,12.700000000000001,55,0
17656,12.8,56,0
17657,12.9,56,0
17658,13.0,56,0
17659,13.100000000000001,55,0
17660,13.200000000000001,56,0
17661,13.3,56,0
17662,13.4,56,0
17663,13.5,54,0
17664,13.600000000000001,53,0
17665,13.700000000000001,53,0
17666,13.8,53,0
17667,13.9,53,0
17668,14.0,54,0
17669,14.100000000000001,54,0
17670,14.200000000000001,54,0
17671,14.3,54,0
17672,14.4,54,0
17673,14.5,55,0
17674,14.600000000000001,55,0
17675,14.700000000000001,55,0
17676,14.8,56,0
17677,14.9,56,0
17678,15.0,56,0
