Sequence,time,Left Wheel Reading,Right Wheel Reading
17040,0.0,0,0
17041,0.0,0,0
17042,0.0,0,0
17043,0.1,1,0
17044,0.2,2,0
17045,0.30000000000000004,13,0
17046,0.4,23,0
17047,0.5,32,0
17048,0.6000000000000001,42,0
17049,0.7000000000000001,51,0
17050,0.8,55,0
17051,0.9,55,0
17052,1.0,55,0
17053,1.1,56,0
17054,1.2000000000000002,55,0
17055,1.3,55,0
17056,1.4000000000000001,55,0
17057,1.5,53,0
17058,1.6,54,0
17059,1.7000000000000002,52,0
17060,1.8,53,0
17061,1.9000000000000001,53,0
17062,2.0,52,0
17063,2.1,53,0
17064,2.2,53,0
17065,2.3000000000000003,53,0
17066,2.4000000000000004,54,0
17067,2.5,54,0
17068,2.6,53,0
17069,2.7,54,0
17070,2.8000000000000003,56,0
17071,2.9000000000000004,55,0
17072,3.0,55,0
17073,3.1,55,0
17074,3.2,55,0
17075,3.3000000000000003,56,0
17076,3.4000000000000004,55,0
17077,3.5,54,0
17078,3.6,54,0
17079,3.7,53,0
17080,3.8000000000000003,53,0
17081,3.9000000000000004,52,0
17082,4.0,53,0
17083,4.1000000000000005,53,0
17084,4.2,54,0
17085,4.3,53,0
17086,4.4,54,0
17087,4.5,54,0
17088,4.6000000000000005,54,0
17089,4.7,54,0
17090,4.800000000000001,55,0
17091,4.9,55,0
17092,5.0,56,0
17093,5.1000000000000005,55,0
17094,5.2,55,0
17095,5.300000000000001,56,0
17096,5.4,56,0
17097,5.5,55,0
17098,5.6000000000000005,55,0
17099,5.7,53,0
17100,5.800000000000001,54,0
17101,5.9,52,0
17102,6.0,52,0
17103,6.1000000000000005,53,0
17104,6.2,53,0
17105,6.300000000000001,54,0
17106,6.4,54,0
17107,6.5,53,0
17108,6.6000000000000005,56,0
17109,6.7,52,0
17110,6.800000000000001,55,0
17111,6.9,54,0
17112,7.0,56,0
17113,7.1000000000000005,55,0
17114,7.2,56,0
17115,7.300000000000001,55,0
17116,7.4,56,0
17117,7.5,55,0
17118,7.6000000000000005,56,0
17119,7.7,53,0
17120,7.800000000000001,54,0
17121,7.9,53,0
17122,8.0,53,0
17123,8.1,52,0
17124,8.200000000000001,54,0
17125,8.3,53,0
17126,8.4,54,0
17127,8.5,54,0
17128,8.6,54,0
17129,8.700000000000001,54,0
17130,8.8,54,0
17131,8.9,54,0
17132,9.0,56,0
17133,9.1,55,0
17134,9.200000000000001,56,0
17135,9.3,55,0
17136,9.4,57,0
17137,9.5,55,0
17138,9.600000000000001,56,0
17139,9.700000000000001,55,0
17140,9.8,54,0
17141,9.9,53,0
17142,10.0,54,0
17143,10.100000000000001,52,0
17144,10.200000000000001,53,0
17145,10.3,54,0
17146,10.4,53,0
17147,10.5,54,0
17148,10.600000000000001,54,0
17149,10.700000000000001,55,0
17150,10.8,54,0
17151,10.9,55,0
17152,11.0,55,0
17153,11.100000000000001,55,0
17154,11.200000000000001,56,0
17155,11.3,56,0
17156,11.4,55,0
17157,11.5,56,0
17158,11.600000000000001,56,0
17159,11.700000000000001,55,0
17160,11.8,54,0
17161,11.9,54,0
17162,12.0,53,0
17163,12.100000000000001,53,0
17164,12.200000000000001,53,0
17165,12.3,52,0
17166,12.4,54,0
17167,12.5,53,0
17168,12.600000000000001,54,0
17169,12.700000000000001,54,0
17170,12.8,54,0
17171,12.9,55,0
17172,13.0,54,0
17173,13.100000000000001,55,0
17174,13.200000000000001,56,0
17175,13.3,55,0
17176,13.4,56,0
17177,13.5,55,0
17178,13.600000000000001,56,0
17179,13.700000000000001,55,0
17180,13.8,55,0
17181,13.9,54,0
17182,14.0,53,0
17183,14.100000000000001,53,0
17184,14.200000000000001,53,0
17185,14.3,53,0
17186,14.4,53,0
17187,14.5,53,0
17188,14.600000000000001,54,0
17189,14.700000000000001,54,0
17190,14.8,54,0
17191,14.9,54,0
17192,15.0,55,0
