Sequence,time,Left Wheel Reading,Right Wheel Reading
20050,0.0,0,0
20051,0.0,0,0
20052,0.0,0,0
20053,0.0,0,0
20054,0.1,0,6
20055,0.2,0,16
20056,0.30000000000000004,0,26
20057,0.4,0,35
20058,0.5,0,44
20059,0.6000000000000001,1,53
20060,0.7000000000000001,0,56
20061,0.8,1,56
20062,0.9,0,57
20063,1.0,0,56
20064,1.1,0,56
20065,1.2000000000000002,0,56
20066,1.3,0,56
20067,1.4000000000000001,1,56
20068,1.5,0,57
20069,1.6,0,56
20070,1.7000000000000002,0,56
20071,1.8,0,56
20072,1.9000000000000001,0,56
20073,2.0,0,56
20074,2.1,0,56
20075,2.2,0,56
20076,2.3000000000000003,0,57
20077,2.4000000000000004,0,56
20078,2.5,0,55
20079,2.6,0,56
20080,2.7,0,57
20081,2.8000000000000003,0,55
20082,2.9000000000000004,1,57
20083,3.0,0,56
20084,3.1,0,56
20085,3.2,0,56
20086,3.3000000000000003,0,56
20087,3.4000000000000004,0,56
20088,3.5,0,56
20089,3.6,0,56
20090,3.7,0,56
20091,3.8000000000000003,0,56
20092,3.9000000000000004,1,56
20093,4.0,0,56
20094,4.1000000000000005,0,56
20095,4.2,0,56
20096,4.3,0,56
20097,4.4,0,56
20098,4.5,0,56
20099,4.6000000000000005,0,56
20100,4.7,0,57
20101,4.800000000000001,0,56
20102,4.9,0,56
20103,5.0,0,56
20104,5.1000000000000005,0,57
20105,5.2,0,55
20106,5.300000000000001,0,57
20107,5.4,1,56
20108,5.5,0,56
20109,5.6000000000000005,0,56
20110,5.7,0,56
20111,5.800000000000001,0,56
20112,5.9,0,56
20113,6.0,0,56
20114,6.1000000000000005,0,56
20115,6.2,0,56
20116,6.300000000000001,0,56
20117,6.4,0,56
20118,6.5,0,56
20119,6.6000000000000005,0,56
20120,6.7,0,56
20121,6.800000000000001,0,57
20122,6.9,0,56
20123,7.0,0,55
20124,7.1000000000000005,0,57
20125,7.2,0,56
20126,7.300000000000001,0,56
20127,7.4,0,55
20128,7.5,0,56
20129,7.6000000000000005,0,56
20130,7.7,0,57
20131,7.800000000000001,0,55
20132,7.9,0,57
20133,8.0,0,56
20134,8.1,0,57
20135,8.200000000000001,1,56
20136,8.3,0,56
20137,8.4,1,56
20138,8.5,0,56
20139,8.6,0,56
20140,8.700000000000001,0,56
20141,8.8,0,56
20142,8.9,0,56
20143,9.0,0,56
20144,9.1,0,56
20145,9.200000000000001,0,56
20146,9.3,0,56
20147,9.4,0,56
20148,9.5,0,56
20149,9.600000000000001,0,56
20150,9.700000000000001,0,56
20151,9.8,1,56
20152,9.9,1,57
20153,10.0,0,58
20154,10.100000000000001,0,56
20155,10.200000000000001,1,56
20156,10.3,0,56
20157,10.4,0,56
20158,10.5,0,56
20159,10.600000000000001,0,56
20160,10.700000000000001,1,57
20161,10.8,0,56
20162,10.9,0,56
20163,11.0,0,57
20164,11.100000000000001,0,56
20165,11.200000000000001,1,56
20166,11.3,1,57
20167,11.4,0,56
20168,11.5,0,56
20169,11.600000000000001,0,56
20170,11.700000000000001,0,56
20171,11.8,0,56
20172,11.9,1,57
20173,12.0,0,56
20174,12.100000000000001,0,56
20175,12.200000000000001,0,56
20176,12.3,0,56
20177,12.4,0,56
20178,12.5,0,56
20179,12.600000000000001,0,56
20180,12.700000000000001,0,56
20181,12.8,0,56
20182,12.9,0,56
20183,13.0,0,56
20184,13.100000000000001,0,56
20185,13.200000000000001,1,56
20186,13.3,0,56
20187,13.4,0,56
20188,13.5,0,56
20189,13.600000000000001,1,57
20190,13.700000000000001,0,57
20191,13.8,1,56
20192,13.9,0,56
20193,14.0,0,55
20194,14.100000000000001,0,56
20195,14.200000000000001,0,56
20196,14.3,0,57
20197,14.4,0,55
20198,14.5,0,56
20199,14.600000000000001,0,56
20200,14.700000000000001,1,56
20201,14.8,1,56
20202,14.9,0,56
20203,15.0,0,56
